"ナセルじゃないか！
よく戻ってきたな。
きっと皆、喜ぶぞ。","Nassel? Welcome back!
I'm sure everyone will
be delighted.",*** CONFIRMED ***
"ひゃー！驚いた！
ナセルじゃないの。","Hyaa! You startled me!
Is that you, Nassel?",*** CONFIRMED ***
"よお！ナセル。
たくましくなったなあ。","Ho, Nassel! You've
toughened up!",*** CONFIRMED ***
"本当にナセルなの？
見違えちゃった。","Is that really you, Nassel?
I hardly recognize you!",*** CONFIRMED ***
"よく戻ったな。
村長さんに挨拶したか？","Welcome back! Have
you visited the mayor?",*** CONFIRMED ***
お兄ちゃん、だれ？,"I don't know you, mister...",*** CONFIRMED ***
"素敵になったわね。
ナセル。","How lovely you've
become, Nassel!",*** CONFIRMED ***
"よぉ！修行の成果を
見せてくれよ。","Hey! Show me the results
of your training!",*** CONFIRMED ***
"ダグのお母さんの具合い、
あまり良くないらしいんだ。","Dag's mother doesn't
seem too healthy...",*** CONFIRMED ***
"ナセル！帰ったんだね。
おばさんは嬉しいよ。齔
早くお母さんに
顔を見せておやり。","Nassel! You're back! You've
made me a happy auntie!\
Now hurry along and let
your mother see you!",*** CONFIRMED ***
"何が欲しいんだ？
買うかい？
ありがとう。
持っているだろ。
金が足りないぜ。","What do you want?
So, this one?
Thanks.
You've got one!
You can't pay!",*** CONFIRMED ***
"何にしますか？
買いますか？
ありがとう。
持っていますよ。
お金が足りません","How can I help?
This one, right?
Thank you.
You're carrying one.
You can't afford it.",*** CONFIRMED ***
"最近いいお酒が
入って来ないのよね。
フィリップス城じゃ
この時期になると
いつもおいしい
ワインを作って
いたのに・・・。＠","We haven't gotten
any good stock
lately.
Even though
excellent wine is
always made at
Philips Castle this
time of year...@",*** CONFIRMED ***
"何の用じゃ。
用が無いのなら
帰っておくれ。","What's your business
here? If you don't
have any, go home.",*** CONFIRMED ***
"＋！ナセル？ナセル？
やっと帰ってきて
くれたんだね・・・。
さあ、そんなとこに
つったってないで
お入りよ。
−あっ！村長さんの所に
挨拶して来なきゃね。
村長さんもお前の事
心配していたよ。","^Nassel? Nassel?
Have you finally
come home to me?
Well, don't just
stand there; come
in!\
_Oh! You have to go
visit the mayor's
house. He's been
worried about you
too!",*** CONFIRMED ***
"お父さんはここんとこ
ムーンストーンとかを
探しに行っているの。","Dad is out
searching for that
Moonstone lately.",*** CONFIRMED ***
"化物が町のすぐ
近くまで来るなんて
恐ろしい事ね。","It's terrible that
monsters came so
close to town!",*** CONFIRMED ***
"＋＋ナセル・・・。
また行って
しまうのかい？
・・・・・。
そう・・・。
それはきっとお前の
持って生まれた運命
なのだろうね。
−−頑張っておいで。齔
命を粗末にしては
いけないよ。
＋さあ。
母さんが作った
パンを持ってお行き。
＋気を付けるんだよ。","^^Nassel... Do you
have to leave again?
...
Well...
I suppose that must
be the fate you were
born to.
__Be strong.\
But don't throw your
life away, okay?
^Here, I made some
bread for you to
bring with you.
^Take care!",*** CONFIRMED ***
＋＋気を付けるんだよ。,^^Take care!,*** CONFIRMED ***
"ナセル！良かった、
元気そうで。
逢いたかったわ。","Nassel! Yay!
You look healthy.
I hoped we'd see
each other again!",*** CONFIRMED ***
