"ラグーン城のフェリシア王女が
フィリップス城に来てたそう
だぜ。","Looks like Princess
Ferisia of Lagoon Castle
has come to Philips Castle.",*** CONFIRMED ***
"最近フィリップス城の
様子がおかしいのよ。齔
それで何人かお城に調べに
行ったんだけど、誰も戻って
来ないの。心配だわ。","Odd things have been
happening at Philips
Castle lately.\
Some people have gone to
investigate, but not one
has returned. I'm worried.",*** CONFIRMED ***
"昨日、この町に変な奴が
来たの。齔
とても恐ろしい気配を
感じたわ。","Yesterday, a weird guy
came to this town.\
Something about him
felt really dreadful.",*** CONFIRMED ***
"このレイクリーランドには
３つの城がある。齔
王の居られるラグーン城、
マーク王子の居られる
マークフィリップス城、齔
そしてジークフリード王子の
居られるジークフリード城。齔
フェリシア王女は、
ラグーン城で、王様、お妃様
と共に仲良く暮らして
おられる。","Lake Leland has
three castles.\
Lagoon Castle is home
to the King; Mark
Philips Castle is home
to Prince Mark;\
and Siegfrid Castle is
home to Prince Siegfrid.\
And Princess Ferisia
is living at Lagoon
Castle alongside the
King and Queen.",*** CONFIRMED ***
"お兄ちゃん、魔法使い？
それじゃあ水晶って
見たことある？","Are you a wizard? Have
you ever seen a crystal?",*** CONFIRMED ***
"フィリップス城に行った
連中は、どうしたのだろう？
心配で夜も眠れぬ。","What could have happened
to the people who went to
Philips Castle? I'm
sleepless with worry.",*** CONFIRMED ***
"昨日、この町に変な奴が
来たんだ。齔
左右の目の色が違ってな、
不気味なほどきれいな
顔をしているんだよ。","A weird guy came to
this town yesterday.\
He had different-colored
eyes and a freakishly
beautiful face.",*** CONFIRMED ***
"フィリップス城の右側の
入口は、魔物が封印して
しまったって噂だよ。","There are stories that
a monster got sealed in
the passage to the right
of Philips Castle.",*** CONFIRMED ***
"フィリップス城の向こうには
ドワーフの町につながる
砂漠があるんだぜ。","Beyond Philips Castle,
there's a desert that
connects to the town
of dwarves.",*** CONFIRMED ***
"［御主か。マティアスの
見つけてきたとか言う
勇者とやらは。
勇者といえど、頼みの
魔剣がなければだだの
子供にすぎんわ。齔
御主も哀れよのお。
じきに命を落とす事に
なろうとは。
この様な運命に導いた
マティアスを
恨むがよい。］＠","You're the supposed
hero whom Mathias
has found?
Hero or not, you're
no more than a 
squalling baby
without a magic
sword to save you.\
You poor thing...
you haven't much
longer to live.
You must be so 
angry at Mathias,
he who led you to
such a fate.@
",*** CONFIRMED ***
"ナセル。
再開を喜びたいが、
そんな暇はない。
もう既に、危機は
迫っている。
闇の神を呼び出す
用意が整い始めた
ようなのだ。齔
＋邪悪な気を−感じる。
この町に影響が
現れて来るのも
時間の問題だ。
急がなくては・・・。","Nassel. I would
celebrate our
reunion, but we have
no such time.
Already the crisis
is upon us.
Preparations to
summon the dark god
are underway.\
^Evil is in the air._
It will reach even
this town in time.
If we don't hurry...",*** CONFIRMED ***
